username,handle,timestamp,content,replies,retweets,likes,permalink
rm -rf,@Lf_tobs,"Jun 4, 2025 · 4:51 PM UTC",Me rn 😂,0,0,0,https://nitter.net/Lf_tobs/status/1930306444382924975#m
rm -rf,@Lf_tobs,"Jun 1, 2025 · 1:47 PM UTC",No... instead invite her over with her windows laptop then change the OS to Linux 🥲.,0,0,0,https://nitter.net/Lf_tobs/status/1929172909173449176#m
rm -rf,@Lf_tobs,"May 31, 2025 · 9:05 AM UTC",Argh I just checked the actual post .... My his soul rest in peace 🕊️,0,0,0,https://nitter.net/Lf_tobs/status/1928739672487825439#m
kehl,@wydkehl,"May 31, 2025 · 8:32 AM UTC",He’s dead,1,0,0,https://nitter.net/wydkehl/status/1928731210861142255#m
rm -rf,@Lf_tobs,"May 31, 2025 · 8:22 AM UTC",Paper tape 😂🥲 bruh should run for his life,1,0,0,https://nitter.net/Lf_tobs/status/1928728853691723967#m
Tobs,@Tobi1961935,"May 30, 2025 · 6:43 PM UTC","Can't Sleep! May Gising pa jan ? Tara Usap ! Lf:Kacuddle sundo moko😁
#altertarlac",4,0,15,https://nitter.net/Tobi1961935/status/1928522620707676443#m
rm -rf,@Lf_tobs,"May 28, 2025 · 9:17 PM UTC",Or a session,0,0,1,https://nitter.net/Lf_tobs/status/1927836730767388879#m
Jeremy,@thejeremy0x,"May 28, 2025 · 4:31 PM UTC","cos I've never seen ""employed student"" position 😂",0,0,1,https://nitter.net/thejeremy0x/status/1927764561291071957#m
rm -rf,@Lf_tobs,"May 28, 2025 · 2:27 PM UTC",This >>>>,0,0,2,https://nitter.net/Lf_tobs/status/1927733383024476606#m
rm -rf,@Lf_tobs,"May 28, 2025 · 1:55 PM UTC",Yeah 🥲😂,1,0,1,https://nitter.net/Lf_tobs/status/1927725507816145313#m
lee,@sugurulee_,"May 28, 2025 · 4:43 AM UTC",lf kahati jebar i want kenma and tobs 😢😢,1,1,1,https://nitter.net/sugurulee_/status/1927586381381136763#m
rm -rf,@Lf_tobs,"May 27, 2025 · 2:58 PM UTC",: ),0,0,0,https://nitter.net/Lf_tobs/status/1927378887249445027#m
cypheron,@0xCypheron,"May 27, 2025 · 12:42 PM UTC",@Lf_tobs :-),1,0,0,https://nitter.net/0xCypheron/status/1927344611992691021#m
cypheron,@0xCypheron,"May 26, 2025 · 9:40 PM UTC",my dev overlord sensei,0,0,0,https://nitter.net/0xCypheron/status/1927117697902317927#m
rm -rf,@Lf_tobs,"May 26, 2025 · 5:32 PM UTC",I really miss him....his videos were prolly one of the reasons I learned how to code,0,0,0,https://nitter.net/Lf_tobs/status/1927055347581145537#m
rm -rf,@Lf_tobs,"May 26, 2025 · 3:41 PM UTC",🙌🏻🙌🏻,1,0,0,https://nitter.net/Lf_tobs/status/1927027432416059803#m
tobs 🗯️,@HEIZOUKRISTO,"May 24, 2025 · 10:02 AM UTC",the amt lf money I spend for coffees this week uhmmmm dhjdjxjdjd,0,0,1,https://nitter.net/HEIZOUKRISTO/status/1926217245807587796#m
rm -rf,@Lf_tobs,"May 22, 2025 · 3:33 PM UTC",Vscode and neovim,0,0,0,https://nitter.net/Lf_tobs/status/1925575652528275540#m
Henry Mishael,@HenryMisha16433,"May 21, 2025 · 10:40 PM UTC",Happy Birthday Chief🎉,0,0,0,https://nitter.net/HenryMisha16433/status/1925320718943670783#m
